Product Name,Mass,Kcals,Pro,CHO,Fat,Sat Fat,Na,K,Mg,Fe,Zn,Ca,p,Fiber
Decaf. Coffee w/C & A/S,6.5,30,0.1,4,1.1,0,7,111,10,0.1,0,5,22,0
Decaf. Coffeew/ C & S,17,72,0.4,4,1.1,0,5,96,10,0,0.1,5,16,0
Decaf. Coffeew/ Cream,6,28,0.1,4,1.1,0,7,111,10,0.1,0,5,22,0
Decaf. Coffeew/ Sugar,13.5,53,0,14,0,0,3,82,10,0.1,0,4,9,0
Dried Apricots,62,156,3.7,38,0.16,0,13,760,27,1.4,0.41,26,63,3.3
Dried Peaches,62,131,2,35,0.15,0,2,608,24,0.65,0,14,55,4.5
Dried Pears,62,138,2,37,0,0,6.4,574,25,0.8,0.32,16,57,5
Fiesta Chicken,227,220,23,16,8.8,3,700.8,575,36,0.68,1.4,128,285,3.2
Fruit Cocktail,128,81,0,21,0,0,35,109,6,0,0,6,11,
Granola,80,313,10.42,58,6,0.74,173,405,79,2,2.2,140,309,4
Granola Bar,28,120,1.4,20,4.2,2.8,51,65,15,0.37,0.7,12,50,0.81
Granola w/ Blueberries,57,230,7,39,7.3,4.23,73,318.5,48,1.12,1.2,108,190,4.6
Granola w/ Raisins,80,315,10,57,7,0.9,181,434,80,2.1,2,144,317,3.6
Grape Drink,17,66.3,0,16.6,0,0,0.2,0,0.4,0,0,28.8,13,0
Grape Drink w/ A/S,1.2,4,0.05,1,0,0,7.6,4,0.06,0,0,10,6,0
Grape Jelly,28,75,0,19,0,0,5,5.5,2,0,0,1.6,1.8,0.14
Grapefruit Drink,35,119.7,1.5,28.4,0.01,0,11.8,376.8,21.6,0.3,0.1,24.5,38,0
Green Beansw/ Mushrooms,10,22,1.8,7,0.2,0,178,79,17,0.6,0.3,40,27,3.2
Green Tea,2,0,0,0,0,0,0,1,0.03,0,0,0.01,0.03,0
Green Tea w/ Sugar,18,71,0,18,0,0,1.6,12,0.7,0,0,0.56,0.97,0
Grilled Pork Chop,142,261,32.5,3.7,13,5,281,530.5,31.1,0.74,0,10.5,225,0
Gritsw/ Butter,34.5,117,2.3,27,0.3,0,509.2,56,11,13,0.22,127,36,0.8
Homestyle Potatoes,142,160,3.5,30,6,1.5,225,656,37,0.84,0.51,25,77,7
Hot and Sour Soup,170,54.4,7.8,9.8,0.99,0,299.5,184,22.5,0.97,0.41,25,64,0.99
Italian Vegetables,20,92,2.1,10.14,5.93,0.7,250,141.4,16.5,0.67,0.3,22.34,36,2.6
Kona Coffee Black,1.5,4.3,0.2,,0,0,0.2,61.4,5.3,0.1,0,2.4,5,0.2
Kona Coffee w/ A/S,2,6,0.3,1.4,0,0,0.71,63,4.9,0,0,2,4,0.25
Kona Coffee w / C & A/S,5.5,18,0.3,4.6,0,0,3.8,83,6,0,0,2.7,19,0.6
Kona Coffee w / C&S,16,68,0.1,14,1.1,,9,93,6,0.1,0,3,20,0
Kona Coffee w/ Cream,5,16,0.3,4,0,0,3,99,8,0,0,3,18,0.7
Kona Coffee w / Sugar,12.5,49,0,12,0,0,5,64,5,0.1,0,2,7,0
Lasagna with Meat,227,202,20,31.7,5.4,3,788,576,53,1.3,3.1,204,277,13
Lemon Curd Cake,130,460,4,76,16.2,8,243,82,10,1.5,0.4,137,238,1.33
Lemon Meringue Pudding,117,140,2,28,2,1,140,,,,,,,0
Lemonade,21,81,0,20,0,0,30,1.6,35,0.01,0.03,3.3,24,0
Lemonade,1.9,7,0.04,1.7,0,0,14,55,16,0,0,2.5,1.44,0
Lemon-Lime Drink,16,62,0,16,0,0,132,36,0,0,0,0.42,27,0
Macadamia Nuts,45,308,3.6,11,29,4.7,4.14,181,51,0.75,0.59,19,77,3
Macaroni & Cheese R,40,194,8.5,20,9.23,4.8,643.6,101,20,0.5,1.1,152,135,1.23
Mango Peach Smoothie,50,200,1.3,46,1.2,1.1,57,136,3.8,0.25,0.1,66,62,0
Maple Muffin Top,62,250,3,30,13,3.5,230,0,0,0,0,0,0,0
Mashed Potatoes,22,71,2,16,0.9,0.23,331,362,16,0.34,0,8.3,43,2.1
